Category: All categories

Month,Vogue: (United States)
2004-01,42
2004-02,44
2004-03,50
2004-04,45
2004-05,40
2004-06,34
2004-07,55
2004-08,53
2004-09,52
2004-10,44
2004-11,45
2004-12,38
2005-01,56
2005-02,46
2005-03,44
2005-04,40
2005-05,37
2005-06,36
2005-07,44
2005-08,47
2005-09,51
2005-10,47
2005-11,40
2005-12,43
2006-01,46
2006-02,42
2006-03,45
2006-04,39
2006-05,38
2006-06,45
2006-07,57
2006-08,49
2006-09,49
2006-10,46
2006-11,40
2006-12,54
2007-01,51
2007-02,49
2007-03,45
2007-04,40
2007-05,40
2007-06,40
2007-07,43
2007-08,49
2007-09,46
2007-10,46
2007-11,47
2007-12,46
2008-01,46
2008-02,44
2008-03,95
2008-04,50
2008-05,56
2008-06,49
2008-07,52
2008-08,73
2008-09,76
2008-10,57
2008-11,59
2008-12,54
2009-01,46
2009-02,58
2009-03,47
2009-04,43
2009-05,41
2009-06,39
2009-07,39
2009-08,47
2009-09,54
2009-10,48
2009-11,41
2009-12,38
2010-01,41
2010-02,43
2010-03,44
2010-04,41
2010-05,44
2010-06,37
2010-07,37
2010-08,41
2010-09,46
2010-10,39
2010-11,45
2010-12,44
2011-01,47
2011-02,52
2011-03,43
2011-04,39
2011-05,36
2011-06,42
2011-07,38
2011-08,54
2011-09,39
2011-10,37
2011-11,36
2011-12,40
2012-01,44
2012-02,56
2012-03,40
2012-04,44
2012-05,36
2012-06,34
2012-07,35
2012-08,42
2012-09,39
2012-10,32
2012-11,35
2012-12,32
2013-01,39
2013-02,34
2013-03,35
2013-04,31
2013-05,33
2013-06,29
2013-07,33
2013-08,37
2013-09,37
2013-10,29
2013-11,30
2013-12,28
2014-01,40
2014-02,42
2014-03,100
2014-04,41
2014-05,37
2014-06,31
2014-07,32
2014-08,33
2014-09,29
2014-10,28
2014-11,27
2014-12,24
2015-01,28
2015-02,27
2015-03,27
2015-04,28
2015-05,26
2015-06,27
2015-07,25
2015-08,29
2015-09,30
2015-10,28
2015-11,23
2015-12,24
2016-01,27
2016-02,29
2016-03,26
2016-04,32
2016-05,32
2016-06,24
2016-07,22
2016-08,40
2016-09,36
2016-10,27
2016-11,42
2016-12,43
2017-01,48
2017-02,59
2017-03,53
2017-04,47
2017-05,47
2017-06,41
2017-07,63
2017-08,51
2017-09,52
2017-10,43
2017-11,44
2017-12,40
2018-01,49
2018-02,53
2018-03,45
2018-04,40
2018-05,55
2018-06,46
2018-07,45
2018-08,61
2018-09,47
2018-10,42
2018-11,39
2018-12,39
2019-01,40
2019-02,52
2019-03,47
2019-04,45
2019-05,42
2019-06,42
2019-07,46
2019-08,40
2019-09,36
2019-10,32
2019-11,28
2019-12,36
2020-01,34
2020-02,41
2020-03,31
2020-04,33
2020-05,32
2020-06,82
2020-07,46
2020-08,33
2020-09,34
2020-10,30
2020-11,77
2020-12,45
2021-01,65
2021-02,35
2021-03,31
2021-04,33
2021-05,84
2021-06,34
2021-07,34
2021-08,29
2021-09,43
2021-10,34
2021-11,30
2021-12,32
2022-01,39
2022-02,39
2022-03,45
2022-04,37
2022-05,51
2022-06,34
2022-07,37
2022-08,46
2022-09,40
2022-10,33
2022-11,36
2022-12,29
2023-01,28
2023-02,34
2023-03,34
2023-04,34
2023-05,47
2023-06,28
2023-07,29
2023-08,52
2023-09,36
2023-10,30
2023-11,32
